Name,Ticker,Date: Morningstar Rating,"Morningstar 
Rating 
Overall","Morningstar 
Fair Value 
Status",Morningstar Fair Value Per Share,Fair Value Uncertainty,"Stock Capital Allocation 
Rating",Date: Economic Moat,Economic Moat,Moat Trend,"Moat Source 
- Cost Advantage","Moat Source 
- Efficient Scale","Moat Source 
- Intangible Assets","Moat Source 
- Network Effect","Moat Source 
- Switch Cost",Morningstar Quantitative Rating Date,Morningstar Quantitative Rating Overall,Date: Quantitative Valuation,Quantitative Moat,Quantitative Valuation,Quantitative Valuation Uncertainty,Quantitative Financial Health,"Quantitative Fair Value 
Estimate 
USD","Morningstar 
Credit Rating 
Date","Morningstar 
Credit Rating",Date: Morningstar Grades,Growth Grade,Profitability Grade,Financial Health Grade,Probability of Default,Solvency Score,Bear Market Rank Decile,"Business Risk 
Pillar","Solvency Score 
Pillar","Cash Flow Cushion 
Pillar",Stress Test Pillar,Momentum Score %,Consider Buying,Consider Selling
3M Co,MMM,7/5/2022,4,Active,186,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,165.28,,,7/5/2022,C,C,B,0,341.37,9,,,,,22.61,130.2,251.1
A.O. Smith Corp,AOS,,,,,,,,,,,,,,,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Strong,70.81,,,7/5/2022,C,C,B,0,211.71,8,,,,,35.7,,
Abbott Laboratories,ABT,7/5/2022,3,Active,104,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Strong,111.75,,,7/5/2022,C,B,A,0,300.44,5,,,,,47.99,72.8,140.4
AbbVie Inc,ABBV,7/5/2022,2,Active,125,High,Standard,7/5/2022,Narrow,Negative,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Overvalued,Medium,Moderate,142.9,,,7/5/2022,B,,B,0,490.74,8,,,,,93.37,75,193.75
Abiomed Inc,ABMD,,,,,,,12/31/2013,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,258.62,,,7/5/2022,B,D,A,0,,7,,,,,28.87,,
Accenture PLC Class A,ACN,7/5/2022,3,Active,258,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,290.95,,,7/5/2022,C,C,A,0,236.65,8,,,,,42.12,180.6,348.3
Activision Blizzard Inc,ATVI,7/5/2022,4,Active,92,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Strong,93.17,,,7/5/2022,C,C,B,0,221.87,6,,,,,59.6,55.2,142.6
Adobe Inc,ADBE,7/5/2022,4,Active,500,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,No,Yes,Yes,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,483.5,,,7/5/2022,B,A,B,0,254.88,6,,,,,8.33,350,675
Advance Auto Parts Inc,AAP,7/5/2022,4,Active,234,Medium,Exemplary,7/5/2022,Narrow,Positive,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,222.55,,,7/5/2022,C,C,B,0,454.66,6,,,,,46.06,163.8,315.9
Advanced Micro Devices Inc,AMD,7/5/2022,5,Active,130,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,122.85,,,7/5/2022,B,A,C,0,224.5,9,,,,,35.22,78,201.5
