Name,Ticker,SEC CIK,Exchange,Exchange Country,Business Country,Company Name,Company Id,SecId,CUSIP,ISIN,Industry,"Return Date 
(Daily)",Last Close,"Market Cap (mil) 
(Daily) 
USD",Earnings Yield (Daily),P/E Ratio (TTM) (Long),"Price 52 Wk High 
USD","Price 52 Wk Low 
USD",Price/Fair Value,"Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,Dividend Declare Date,Dividend Record Date,Dividend Payable Date,"Grossed Up Dividend 
Amount",Dividend Yield % TTM,"Grossed Up Dividend 
Yield % TTM",Forward Dividend Yield %,Earnings Yield % TTM,Forward Earnings Yield %,Current Return %,Date: Inc Statement TTM,EPS TTM,"Revenue (mil) 
TTM 
USD","Net Income (mil) 
TTM 
USD","Dividend per Share 
TTM 
USD","Base 
Currency",Primary Share,Primary Share for Company,Sector,NAICS,SIC,Hemscott Industry,GICS Sub-Industry,GICS Industry,GICS Industry Group,GICS Sector,Russell Sector,Russell Sub-Sector,Russell Industry,MSCI Country,"Equity 
Style Box (Long)",Stock Type,Analyst Name,Analysis Date,Security Type,"Equity Profile 
Report Date",IPO Date,IPO Offer Price,"Note Effective 
Date",Delisting Date,Delisting Reason,"India Market 
Cap Date",India Market Cap,Indian Stock Category,ICB Industry,ICB Supersector,ICB Sector,ICB Subsector,Market Industry Code - JP,Market Industry Name - JP,Local Short Trading Name,Local Legal Trading Name,"ESG Risk 
Rating Assessment",Submarket,ADR
3M Co,MMM,66740,"New York Stock Exchange, Inc.",United States,United States,3M Co,0C0000095Q,0P0000000I,,,Conglomerates,7/5/2022,129.21,"73,528.09",0.07,13.47,203.21,125.6,0.69,5/19/2022,1.49,"[1972-06-16]	1.000000	2.000000;[1987-06-16]	1.000000	2.000000;[1994-04-11]	1.000000	2.000000;[2003-09-30]	1.000000	2.000000;",5/10/2022,5/20/2022,6/12/2022,,4.6,,4.61,7.44,8.34,0.56,3/31/2022,9.61,"35,333.00","5,596.00",5.93,US Dollar,Yes,Yes,Industrials,;;;;;;;;;;;;;Offices of Other Holding Companies;;;;,";;;;;;;;;;OFFICES OF HOLDING COMPANIES, N.E.C.;;;;;",,,,,,Producer Durables,Manufacturing & Production,Diversified manufacturing operations,,Large Value,High Yield,Joshua Aguilar,4/27/2022,Common Stock,,1/14/1946,,,,,,,,,,,,,,,,,,No
A.O. Smith Corp,AOS,91142,"New York Stock Exchange, Inc.",United States,United States,A.O. Smith Corp,0C00000964,0P0000000Y,,,Specialty Industrial Machinery,7/5/2022,57.39,"8,953.24",0.06,17.19,86.74,51.91,,4/28/2022,0.28,"[1993-08-17]	1.000000	2.000000;[1998-08-18]	2.000000	3.000000;[2013-05-16]	1.000000	2.000000;[2016-10-06]	1.000000	2.000000;",4/11/2022,4/29/2022,5/16/2022,,1.92,,1.95,5.54,6.19,2.43,3/31/2022,3.18,"3,747.60",509.2,1.08,US Dollar,Yes,Yes,Industrials,;Motor and Generator Manufacturing;;,";;ELECTRICAL EQUIPMENT & SUPPLIES, N.E.C.;;",,,,,,Materials & Processing,Building Materials,Building: Climate control,,Mid Blend,Cyclical,,,Common Stock,,9/7/1984,,,,,,,,,,,,,,,,,,No
Abbott Laboratories,ABT,1800,"New York Stock Exchange, Inc.",United States,United States,Abbott Laboratories,0C0000096K,0P0000003P,,,Medical Devices,7/5/2022,109.3,"191,377.99",0.04,25.21,142.6,101.24,1.05,7/14/2022,0.47,"[1975-08-25]	1.000000	2.000000;[1978-05-23]	1.000000	2.000000;[1981-06-01]	1.000000	2.000000;[1986-06-02]	1.000000	2.000000;[1990-06-01]	1.000000	2.000000;[1992-06-01]	1.000000	2.000000;[1998-06-01]	1.000000	2.000000;",6/10/2022,7/15/2022,8/15/2022,,1.68,,1.72,3.94,4.42,-0.83,3/31/2022,4.31,"44,514.00","7,725.00",1.82,US Dollar,Yes,Yes,Healthcare,;;Surgical and Medical Instrument Manufacturing;,;;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS;,,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Large Blend,Aggressive Growth,Debbie S. Wang,1/24/2022,Common Stock,,4/19/1949,,,,,,,,,,,,,,,,,,No
AbbVie Inc,ABBV,1551152,"New York Stock Exchange, Inc.",United States,United States,AbbVie Inc,0C00009SSX,0P0000XPGW,,,Drug Manufacturers - General,7/5/2022,153.93,"272,011.26",0.05,21.97,175.91,105.56,1.23,7/14/2022,1.41,,6/23/2022,7/15/2022,8/15/2022,,3.52,,3.66,4.53,9.11,0.08,3/31/2022,6.97,"56,725.00","12,479.00",5.31,US Dollar,Yes,Yes,Healthcare,Pharmaceutical Preparation Manufacturing,"DRUGS, DRUG PROPRIETARIES, & DRUGGISTS' SUNDRIES",,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Large Value,Aggressive Growth,"Damien Conover, CFA",6/3/2022,Common Stock,,12/10/2012,,,,,,,,,,,,,,,,,,No
Abiomed Inc,ABMD,815094,Nasdaq - All Markets,United States,United States,Abiomed Inc,0C0000096R,0P0000003X,,,Medical Devices,7/5/2022,256.66,"11,710.32",0.01,83.06,379.3,219.85,,,,"[2000-10-02]	1.000000	2.000000",,,,,,,,1.16,,0.83,3/31/2022,2.98,"1,031.75",136.51,,US Dollar,Yes,Yes,Healthcare,Surgical and Medical Instrument Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,,,,,Healthcare,Medical Equipment And Services,Medical & dental instruments & supplies,,Mid Growth,Slow Growth,,,Common Stock,5/11/2012,7/30/1987,,,,,,,,,,,,,,,,,,No
Accenture PLC Class A,ACN,1467373,"New York Stock Exchange, Inc.",United States,United States,Accenture PLC,0C0000097A,0P0000004C,,IE00B4BNMY34,Information Technology Services,7/5/2022,275.17,"174,058.15",0.04,26.93,417.37,268.17,1.07,7/13/2022,0.97,,6/23/2022,7/14/2022,8/15/2022,,1.38,,1.41,3.75,4.4,-1.95,5/31/2022,10.31,"59,589.93","6,628.29",3.79,US Dollar,Yes,Yes,Technology,Other Computer Related Services;;;,"COMPUTER RELATED SERVICES, N.E.C.;;;",,,,,,Producer Durables,Commercial Services,"Back office support, HR & consulting",,Large Growth,,Julie Bhusal Sharma,3/17/2022,Common Stock,,7/19/2001,,,,,,,,,,,,,,,,,,No
Activision Blizzard Inc,ATVI,718877,Nasdaq - All Markets,United States,United States,Activision Blizzard Inc,0C00000986,0P00000053,,,Electronic Gaming & Multimedia,7/5/2022,78.87,"61,666.99",0.04,24.72,95.27,56.4,0.86,4/13/2022,0.47,"[2001-11-21]	2.000000	3.000000;[2003-06-09]	2.000000	3.000000;[2004-03-16]	2.000000	3.000000;[2005-03-23]	3.000000	4.000000;[2005-10-25]	3.000000	4.000000;[2008-09-08]	1.000000	2.000000;",2/2/2022,4/15/2022,5/6/2022,,0.6,,0.6,3.99,4.01,0.38,3/31/2022,3.15,"8,296.00","2,475.00",0.47,US Dollar,Yes,Yes,Communication Services,Software Publishers,"GAMES, TOYS, & CHILDREN'S VEHICLES, EXCEPT BICYCLE;;",,,,,,Technology,Information Technology,Electronic entertainment,,Large Blend,Classic Growth,"Neil Macker, CFA",2/4/2022,Common Stock,5/11/2012,10/22/1993,,,,,,,,,,,,,,,,,,No
Adobe Inc,ADBE,796343,Nasdaq - All Markets,United States,United States,Adobe Inc,0C0000098S,0P0000005M,,,Software - Infrastructure,7/5/2022,376.49,"176,197.32",0.03,35.75,699.54,338,0.75,3/24/2005,0.01,"[1987-03-12]	1.000000	2.000000;[1988-11-23]	1.000000	2.000000;[1993-08-11]	1.000000	2.000000;[1999-10-27]	1.000000	2.000000;[2000-10-25]	1.000000	2.000000;[2005-05-24]	1.000000	2.000000;",2/10/2005,3/29/2005,4/12/2005,,,,,2.72,3.59,2.17,5/31/2022,10.24,"16,693.00","4,889.00",0,US Dollar,Yes,Yes,Technology,Software Publishers;;,;PREPACKAGED SOFTWARE;,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,"Dan Romanoff, CPA",6/17/2022,Common Stock,5/11/2012,8/20/1986,,,,,,,,,,,,,,,,,,No
Advance Auto Parts Inc,AAP,1158449,"New York Stock Exchange, Inc.",United States,United States,Advance Auto Parts Inc,0C0000098Y,0P0000005S,,,Specialty Retail,7/5/2022,182.31,"11,055.25",0.05,19.23,244.55,164,0.78,6/16/2022,1.5,"[2004-01-05]	1.000000	2.000000;[2005-09-26]	2.000000	3.000000;",5/18/2022,6/17/2022,7/1/2022,,2.74,,3.29,4.94,7.53,4.99,3/31/2022,9,"11,041.83",569.97,4.5,US Dollar,Yes,Yes,Consumer Cyclical,Automotive Parts and Accessories Stores,;AUTO & HOME SUPPLY STORES;,,,,,,Consumer Discretionary,Retail,Specialty retail,,Mid Value,Cyclical,"Zain Akbari, CFA",6/29/2022,Common Stock,,11/29/2001,,,,,,,,,,,,,,,,,,No
Advanced Micro Devices Inc,AMD,2488,Nasdaq - All Markets,United States,United States,Advanced Micro Devices Inc,0C0000099E,0P0000006A,,,Semiconductors,7/5/2022,75.2,"121,862.19",0.04,28.53,164.46,71.6,0.58,4/27/1995,0.01,"[1978-09-19]	2.000000	3.000000;[1979-09-18]	2.000000	3.000000;[1980-01-24]	1.000000	2.000000;[1980-10-24]	1.000000	2.000000;[1982-10-28]	2.000000	3.000000;[1983-08-23]	1.000000	2.000000;[2000-08-22]	1.000000	2.000000;",4/7/1995,5/3/1995,5/24/1995,,,,,3.56,5.65,2.08,3/31/2022,2.68,"18,876.00","3,393.00",,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing;;;,SEMICONDUCTORS & RELATED DEVICES;;;;,,,,,,Technology,Electronics,Semiconductors and components,,Large Growth,Cyclical,"Abhinav Davuluri, CFA",2/14/2022,Common Stock,,10/15/1979,,,,,,,,,,,,,,,,,,No
