"Name","Ticker","Return Date 
(Daily)","Total Ret 
YTD 
(Daily) 
USD","Total Ret 
1 Day 
(Daily) 
USD","Total Ret 
1 Wk 
(Daily) 
USD","Total Ret 
1 Mo 
(Daily) 
USD","Total Ret 
2 Mo 
(Daily) 
USD","Total Ret 
3 Mo 
(Daily) 
USD","Total Ret 
6 Mo 
(Daily) 
USD","Total Ret 
1 Yr 
(Daily) 
USD","Total Ret 
Annlzd 2 Yr 
(Daily) 
USD","Total Ret 
Annlzd 3 Yr 
(Daily) 
USD","Total Ret 
Annlzd 5 Yr 
(Daily) 
USD","Total Ret 
Annlzd 10 Yr 
(Daily) 
USD","% Rank Ind YTD (Daily)","% Rank Ind 1 Mo (Daily)","% Rank Ind 3 Mo (Daily)","% Rank Ind 1 Yr (Daily)","% Rank Ind Ann 3 Yr (Daily)","% Rank Ind Ann 5 Yr (Daily)","% Rank Ind Ann 10 Yr (Daily)","Return Date 
(Mo-End)","Total Ret 
YTD 
(Mo-End) 
USD","Total Ret 
1 Mo 
(Mo-End) 
USD","Total Ret 
2 Mo 
(Mo-End) 
USD","Total Ret 
3 Mo 
(Mo-End) 
USD","Total Ret 
1 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 2 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 3 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 5 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 10 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 15 Yr 
(Mo-End) 
USD","Total Ret 
Annlzd 20 Yr 
(Mo-End) 
USD","Return Date 
(Qtr-End)","Total Ret 
1 Mo 
(Qtr-End) 
USD","Total Ret 
2 Mo 
(Qtr-End) 
USD","Total Ret 
3 Mo 
(Qtr-End) 
USD","Total Ret 
6 Mo 
(Qtr-End) 
USD","Total Ret 
YTD 
(Qtr-End) 
USD","Total Ret 
1 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 2 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 3 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 5 Yr 
(Qtr-End) 
USD","Total Ret 
Annlzd 10 Yr 
(Qtr-End) 
USD"
"3M Co","MMM","2022-07-05","-25.58","0.56","-0.86","-11.48","-12.55","-12.22","-26.35","-32.39","-5.23","-5.13","-5.56","6.96","80.00","77.00","69.00","83.00","71.00","71.00","40.00","2022-06-30","-25.47","-13.32","-9.24","-12.08","-31.86","-4.84","-5.33","-5.40","6.97","5.22","5.92","2022-06-30","-13.32","-9.24","-12.08","-25.47","-25.47","-31.86","-4.84","-5.33","-5.40","6.97"
"A.O. Smith Corp","AOS","2022-07-05","-32.50","2.43","4.01","-5.67","-2.61","-11.81","-30.63","-17.60","12.14","8.74","1.60","17.78","78.00","53.00","63.00","62.00","39.00","47.00","13.00","2022-06-30","-35.66","-9.05","-6.42","-13.98","-22.59","9.79","6.98","1.01","17.44","16.01","13.21","2022-06-30","-9.05","-6.42","-13.98","-35.66","-35.66","-22.59","9.79","6.98","1.01","17.44"
"Abbott Laboratories","ABT","2022-07-05","-21.67","-0.83","2.18","-6.24","-3.28","-8.13","-18.44","-5.85","10.57","10.14","18.89","9.11","38.00","41.00","24.00","19.00","27.00","14.00","37.00","2022-06-30","-22.13","-7.50","-4.27","-7.81","-4.69","10.73","10.50","18.95","9.11","7.68","7.79","2022-06-30","-7.50","-4.27","-7.81","-22.13","-22.13","-4.69","10.73","10.50","18.95","9.11"
"AbbVie Inc","ABBV","2022-07-05","16.04","0.08","0.94","4.59","1.15","-4.95","15.64","38.68","29.05","32.34","19.44","","22.00","20.00","68.00","11.00","10.00","16.00","","2022-06-30","15.47","3.93","4.28","-4.65","41.11","29.21","32.30","19.33","","","","2022-06-30","3.93","4.28","-4.65","15.47","15.47","41.11","29.21","32.30","19.33",""
"Abiomed Inc","ABMD","2022-07-05","-28.54","0.82","3.04","-2.13","-5.73","-20.45","-24.11","-19.04","-1.37","-0.62","12.51","26.89","52.00","31.00","60.00","32.00","48.00","24.00","6.00","2022-06-30","-31.09","-6.14","-13.63","-25.28","-20.70","1.22","-1.69","11.55","26.92","23.24","18.38","2022-06-30","-6.14","-13.63","-25.28","-31.09","-31.09","-20.70","1.22","-1.69","11.55","26.92"
"Accenture PLC Class A","ACN","2022-07-05","-33.15","-1.95","-3.04","-9.77","-7.88","-19.45","-30.23","-8.49","14.42","14.17","18.54","17.43","71.00","48.00","59.00","42.00","34.00","22.00","30.00","2022-06-30","-32.56","-6.97","-7.56","-17.38","-4.53","15.18","15.85","18.82","17.56","14.03","14.94","2022-06-30","-6.97","-7.56","-17.38","-32.56","-32.56","-4.53","15.18","15.85","18.82","17.56"
"Activision Blizzard Inc","ATVI","2022-07-05","19.25","0.38","2.22","1.26","0.14","-1.29","19.69","-15.84","1.47","18.55","7.20","21.07","8.00","25.00","30.00","36.00","26.00","32.00","24.00","2022-06-30","17.74","-0.03","2.99","-2.22","-17.93","1.89","18.84","6.78","21.07","15.55","16.84","2022-06-30","-0.03","2.99","-2.22","17.74","17.74","-17.93","1.89","18.84","6.78","21.07"
"Adobe Inc","ADBE","2022-07-05","-33.61","2.17","2.97","-12.40","-6.00","-17.90","-26.81","-36.52","-7.81","7.39","21.67","27.75","56.00","63.00","49.00","58.00","38.00","16.00","9.00","2022-06-30","-35.45","-12.11","-7.55","-19.66","-37.49","-8.30","7.50","20.95","27.45","15.88","17.62","2022-06-30","-12.11","-7.55","-19.66","-35.45","-35.45","-37.49","-8.30","7.50","20.95","27.45"
"Advance Auto Parts Inc","AAP","2022-07-05","-22.75","4.99","1.99","-3.63","-8.70","-13.19","-21.63","-11.25","15.45","5.70","12.57","10.77","58.00","48.00","53.00","44.00","49.00","30.00","30.00","2022-06-30","-26.59","-8.04","-12.54","-15.64","-13.19","12.36","5.40","9.19","10.32","10.59","12.26","2022-06-30","-8.04","-12.54","-15.64","-26.59","-26.59","-13.19","12.36","5.40","9.19","10.32"
"Advanced Micro Devices Inc","AMD","2022-07-05","-47.74","2.08","-6.91","-29.26","-19.89","-29.60","-44.77","-20.59","19.86","33.65","41.64","29.03","86.00","88.00","79.00","55.00","26.00","8.00","8.00","2022-06-30","-46.86","-24.93","-10.58","-30.06","-18.59","20.56","36.04","43.70","29.58","11.83","10.86","2022-06-30","-24.93","-10.58","-30.06","-46.86","-46.86","-18.59","20.56","36.04","43.70","29.58"
"Aflac Inc","AFL","2022-07-05","-3.55","-1.28","-0.68","-5.61","-3.64","-12.31","-6.26","5.23","28.48","1.44","9.39","11.74","47.00","63.00","71.00","24.00","54.00","15.00","20.00","2022-06-30","-3.87","-8.65","-2.71","-13.45","5.83","26.89","2.55","9.50","11.80","6.67","7.57","2022-06-30","-8.65","-2.71","-13.45","-3.87","-3.87","5.83","26.89","2.55","9.50","11.80"
"Agilent Technologies Inc","A","2022-07-05","-24.09","1.13","3.17","-6.01","-1.13","-9.37","-18.59","-18.44","17.36","17.49","15.70","13.58","41.00","43.00","39.00","39.00","30.00","29.00","40.00","2022-06-30","-25.34","-6.89","-0.42","-10.09","-19.10","16.60","17.46","15.50","13.46","8.94","9.31","2022-06-30","-6.89","-0.42","-10.09","-25.34","-25.34","-19.10","16.60","17.46","15.50","13.46"
"Air Products & Chemicals Inc","APD","2022-07-05","-20.07","-1.15","-0.38","-4.23","2.38","-4.01","-20.06","-15.32","0.90","3.67","13.24","13.78","57.00","27.00","30.00","55.00","56.00","22.00","29.00","2022-06-30","-19.90","-1.65","3.43","-3.13","-14.24","2.24","4.38","13.21","13.70","9.21","9.45","2022-06-30","-1.65","3.43","-3.13","-19.90","-19.90","-14.24","2.24","4.38","13.21","13.70"
"Akamai Technologies Inc","AKAM","2022-07-05","-20.43","1.10","0.80","-7.65","-5.61","-22.66","-19.35","-21.10","-9.26","4.46","12.82","11.20","38.00","55.00","55.00","41.00","41.00","25.00","34.00","2022-06-30","-21.97","-9.61","-18.66","-23.50","-21.67","-7.65","4.45","12.89","11.14","4.29","23.69","2022-06-30","-9.61","-18.66","-23.50","-21.97","-21.97","-21.67","-7.65","4.45","12.89","11.14"
"Alaska Air Group Inc","ALK","2022-07-05","-20.27","0.90","1.86","-15.02","-18.77","-26.96","-24.16","-31.58","6.70","-12.71","-13.12","9.91","54.00","39.00","72.00","57.00","44.00","59.00","21.00","2022-06-30","-23.13","-17.01","-26.37","-30.96","-33.59","5.10","-13.67","-13.41","10.08","13.56","10.37","2022-06-30","-17.01","-26.37","-30.96","-23.13","-23.13","-33.59","5.10","-13.67","-13.41","10.08"
"Albemarle Corp","ALB","2022-07-05","-13.92","-2.30","-10.20","-19.91","-15.08","-7.58","-14.61","18.37","60.97","42.74","13.98","13.23","43.00","75.00","50.00","17.00","11.00","20.00","28.00","2022-06-30","-10.27","-19.60","8.58","-5.32","24.99","65.74","44.76","15.43","14.04","12.47","14.39","2022-06-30","-19.60","8.58","-5.32","-10.27","-10.27","24.99","65.74","44.76","15.43","14.04"
"Alexandria Real Estate Equities Inc","ARE","2022-07-05","-31.98","0.80","4.15","-7.88","-16.01","-25.77","-26.62","-16.34","-2.07","3.85","7.13","9.62","90.00","55.00","87.00","57.00","22.00","16.00","21.00","2022-06-30","-33.91","-11.90","-19.74","-27.35","-17.76","-2.58","3.87","6.57","9.49","4.64","7.36","2022-06-30","-11.90","-19.74","-27.35","-33.91","-33.91","-17.76","-2.58","3.87","6.57","9.49"
