Company,Recommendations
A,6
AAL,2.80
AAP,2.20
AAPL,1.90
ABBV,2.20
ABC,2.20
ABMD,2.40
ABT,1.80
ACN,6
ADBE,1.90
ADI,1.90
ADM,2.30
ADP,3.00
ADSK,1.90
AEE,2.20
AEP,2.20
AES,1.80
AFL,2.90
AIG,2.30
AIZ,1.80
AJG,2.10
AKAM,2.20
ALB,2.40
ALGN,1.90
ALK,1.90
ALL,2.40
ALLE,2.50
AMAT,2.00
AMCR,3.00
AMD,2.10
AME,2.00
AMGN,2.60
AMP,2.20
AMT,2.10
AMZN,1.80
ANET,2.20
ANSS,2.60
AON,2.90
AOS,2.60
APA,2.30
APD,2.50
APH,2.20
APTV,2.10
ARE,1.80
ATO,2.40
ATVI,2.30
AVB,2.60
AVGO,1.90
AVY,2.00
AWK,2.70
AXP,2.30
AZO,2.20
BA,6
BAC,2.20
BALL,2.40
BAX,2.10
BBWI,6
BBY,2.70
BDX,2.20
BEN,3.30
BF-B,3.20
BIIB,2.40
BIO,1.50
BK,2.60
BKNG,2.20
BKR,2.00
BLK,1.90
BMY,2.20
BR,2.90
BRK-B,2.80
BRO,2.60
BSX,1.70
BWA,2.50
BXP,2.40
C,2.40
CAG,2.70
CAH,2.80
CARR,2.40
CAT,2.40
CB,6
CBOE,2.50
CBRE,2.00
CCI,2.40
CCL,6
CDAY,6
CDNS,2.10
CDW,1.90
CE,2.30
CEG,2.00
CF,2.50
CFG,2.00
CHD,2.90
CHRW,2.60
CHTR,2.50
CI,2.10
CINF,2.60
CL,2.80
CLX,3.40
CMA,2.20
CMCSA,2.30
CME,2.40
CMG,1.90
CMI,2.30
CMS,2.70
CNC,2.00
CNP,1.90
COF,2.10
COO,2.20
COP,2.00
COST,2.10
CPB,3.20
CPRT,1.60
CPT,2.10
CRL,1.70
CRM,1.80
CSCO,2.50
CSX,2.20
CTAS,2.20
CTLT,1.70
CTRA,2.40
CTSH,2.40
CTVA,2.30
CTXS,2.80
CVS,2.20
CVX,2.40
CZR,1.90
D,2.30
DAL,1.70
DD,2.20
DE,2.20
DFS,2.10
DG,2.20
DGX,2.40
DHI,2.00
DHR,1.80
DIS,2.00
DISH,2.10
DLR,2.10
DLTR,2.40
DOV,2.20
DOW,2.80
DPZ,2.50
DRE,6
DRI,2.10
DTE,2.20
DUK,2.50
DVA,3.10
DVN,2.10
DXC,2.80
DXCM,1.60
EA,2.00
EBAY,2.60
ECL,2.50
ED,3.40
EFX,2.00
EIX,2.30
EL,2.00
ELV,2.00
EMN,2.40
EMR,2.20
ENPH,2.00
EOG,2.00
EPAM,1.60
EQIX,2.00
EQR,2.60
ES,2.70
ESS,2.50
ETN,2.20
ETR,2.10
ETSY,2.10
EVRG,2.40
EW,2.00
EXC,2.20
EXPD,2.90
EXPE,2.50
EXR,2.30
F,2.70
FANG,1.90
FAST,2.90
FBHS,2.40
FCX,2.20
FDS,3.10
FDX,2.00
FE,2.40
FFIV,2.50
FIS,1.90
FISV,2.10
FITB,2.00
FLT,2.20
FMC,2.30
FOX,6
FOXA,2.40
FRC,2.30
FRT,2.40
FTNT,2.10
FTV,2.10
GD,2.10
GE,2.00
GILD,2.50
GIS,2.90
GL,2.90
GLW,2.10
GM,2.00
GNRC,1.60
GOOG,1.50
GOOGL,1.70
GPC,2.80
GPN,1.80
GRMN,6
GS,2.10
GWW,2.60
HAL,2.10
HAS,1.90
HBAN,2.60
HCA,1.90
HD,2.10
HES,2.20
HIG,2.00
HII,2.80
HLT,2.40
HOLX,2.10
HON,2.30
HPE,2.50
HPQ,3.00
HRL,3.00
HSIC,2.90
HST,2.20
HSY,2.60
HUM,2.00
HWM,2.00
IBM,2.60
ICE,2.00
IDXX,2.30
IEX,2.20
IFF,6
ILMN,2.60
INCY,2.10
INTC,2.90
INTU,1.70
IP,2.90
IPG,2.50
IQV,1.70
IR,2.10
IRM,2.10
ISRG,2.10
IT,2.10
ITW,2.90
IVZ,6
J,1.70
JBHT,2.10
JCI,6
JKHY,2.80
JNJ,2.30
JNPR,2.60
JPM,2.40
K,3.00
KDP,2.40
KEY,2.70
KEYS,2.00
KHC,2.90
KIM,2.10
KLAC,2.00
KMB,3.20
KMI,3.00
KMX,2.00
KO,2.10
KR,2.80
L,3.00
LDOS,2.10
LEN,2.20
LH,1.80
LHX,6
LIN,1.70
LKQ,1.60
LLY,2.00
LMT,2.50
LNC,2.60
LNT,2.50
LOW,2.00
LRCX,2.10
LUMN,3.40
LUV,1.90
LVS,2.20
LW,1.70
LYB,2.60
LYV,2.20
MA,1.90
MAA,2.40
MAR,2.40
MAS,2.50
MCD,2.00
MCHP,2.10
MCK,1.90
MCO,2.30
MDLZ,1.90
MDT,2.10
MET,1.70
META,2.10
MGM,2.20
MHK,2.80
MKC,3.00
MKTX,2.90
